Label,Protien,Hydrophobicity index base on helix in membrane,Polarity (driven from amino acids),Hydrophilicity value (driven from free amino acids),Average Volume of surrounding residues,Surrounding hydrophobicity in folded form,Energy of transfer from inside to outside,Buried and accessible molar fraction ratio
Fold1,>P23453,138.3699999999999,149.97999999999996,181.60000000000008,152.4200000000001,131.71000000000012,204.72999999999985,92.65999999999983
Fold1,>P07373,151.40999999999997,112.84000000000015,156.15000000000015,178.07000000000025,182.72000000000057,259.72999999999973,133.03999999999968
Fold1,>P12921,86.94999999999997,86.06999999999998,105.43000000000002,92.15000000000003,76.36999999999999,119.85000000000002,53.34999999999997
Fold1,>P19579,175.12000000000003,198.04000000000002,231.0200000000001,178.4400000000004,149.79000000000025,236.2899999999996,104.10999999999972
Fold1,>A2RMA8,205.5900000000004,167.89000000000007,218.28000000000011,238.70000000000064,232.57000000000102,342.93999999999954,168.0599999999999
Fold1,>A6QIG2,246.69000000000017,282.6700000000002,326.84000000000003,224.7500000000009,198.55000000000064,323.85999999999956,140.88999999999967
Fold1,>P35594,305.90000000000003,364.20000000000016,431.41999999999877,318.63000000000113,268.260000000001,443.1399999999995,196.26000000000008
Fold1,>P0A3G5,187.51000000000016,225.2399999999998,256.6300000000003,187.32000000000056,156.69000000000034,277.75999999999937,114.89999999999954
Fold1,>P39755,208.06000000000026,158.06000000000026,212.33999999999992,243.8900000000007,249.6000000000008,360.0099999999991,179.82999999999976
Fold1,>P33379,246.28000000000034,328.89000000000016,385.11999999999927,266.2700000000005,182.68000000000077,360.7499999999998,142.19999999999976
Fold1,>P0C0N4,90.44999999999992,66.18999999999994,87.77000000000004,101.6800000000001,95.89000000000006,127.82000000000005,65.83000000000004
Fold1,>Q2FV54,269.29,232.77000000000007,296.5999999999999,289.88000000000096,263.16000000000116,380.02999999999946,184.1900000000001
Fold1,>P0A4D8,222.4000000000002,256.4999999999996,312.5099999999996,228.12000000000066,179.6400000000005,297.8299999999993,131.3599999999997
Fold1,>P35865,194.5600000000002,167.77000000000012,218.41,224.38000000000056,241.06000000000088,354.78999999999905,175.72999999999973
Fold1,>Q9CD58,298.3999999999989,360.52999999999935,432.2299999999975,329.74000000000046,278.00999999999976,483.14999999999776,208.3100000000005
Fold1,>P46922,117.76999999999997,134.89000000000016,159.64000000000007,119.15,105.65000000000005,175.35999999999996,77.2099999999999
