Label,Protien,structure derived hydrophobicity value,Polarizability,Normalized frequency of alpha-helix,Normalized frequency of beta-strand,Normalized frequency of turn,Hydrophobicity at ph 7.5 by HPLC,Size,Consensus normalized hydrophobicity scale,Hydrophobicity index base on helix in membrane,Molecular weight,Hydrophobic parameter,Van der waals volume,Polarity (driven from amino acids),Volume,Compressibility,Average long range contact energy,Average medium range contact energy,Long range non bounded energy,Mean RMS fluctuational displacement,Refractive index,Solvent accessible reduction,Total non bounded energy,Unfolding entropy change of hydration,Unfolding hydration heat capacity change,Retention coefficient (retention times PH= 7.0),Amino acids partition energy,PKa COOH,Hydrophilicity value (driven from free amino acids),Absolute entropy,Entropy of formation,Buried and accessible molar fraction ratio,Energy of transfer from inside to outside,Flexibility for one rigid residue,Side chain interaction parameter,Side chain volume,Hydropathy index,Average surrounding hydrophobicity,Average reduced distance for side chain,Side chain orientation angle,Ave number of nearest neighbour in chian,Average Volume of surrounding residues,Hydrophobicity scale (contact energy derived from 3D data),Partition coefficient,Average gain in surrounding hydrophobicity,Surrounding hydrophobicity in alpha-helix,Surrounding hydrophobicity in beta-sheet,Surrounding hydrophobicity in turn,Surrounding hydrophobicity in folded form,Average number of surrounding residues,Membrane buried helix parameter,Mean fractional area loss (f),Flexibility,Hydration potential (transfer vapour phrase to water at ph 7),Bulkiness,Polarity (driven from amino acids in proteins)
Fold1,>P23453,130.63000000000005,126.20000000000032,168.60000000000002,159.6599999999999,141.29999999999993,177.2300000000001,209.5499999999999,216.9899999999997,138.3699999999999,143.60000000000045,141.49000000000007,141.55000000000013,149.97999999999996,153.44000000000017,201.18999999999963,150.49000000000015,184.76999999999984,145.2800000000001,195.12000000000018,127.19000000000007,128.41999999999996,186.83999999999986,149.38000000000014,142.76000000000016,144.29000000000005,172.38999999999996,231.35000000000036,181.60000000000008,159.62999999999985,137.91,92.65999999999983,204.72999999999985,193.81999999999977,173.73000000000008,155.7500000000001,158.0899999999999,140.98999999999992,190.75999999999985,159.77999999999997,140.57999999999998,152.4200000000001,144.16000000000005,189.62999999999994,132.7800000000002,137.51999999999995,175.4699999999998,124.82000000000004,131.71000000000012,136.88,174.2200000000003,174.7999999999999,166.3599999999998,231.2199999999997,221.21000000000043,94.50999999999998
Fold1,>P07373,180.52999999999997,140.32000000000016,172.14000000000013,208.27999999999935,144.72000000000008,247.90999999999988,221.2100000000003,274.4299999999999,151.40999999999997,148.6200000000004,198.49000000000078,153.49000000000015,112.84000000000015,171.44000000000025,204.9899999999995,208.15000000000032,199.28999999999982,199.03000000000023,185.1300000000001,142.94000000000005,173.81999999999968,249.61999999999964,180.2200000000002,197.8400000000002,202.39000000000016,158.55,279.39000000000016,156.15000000000015,165.94999999999968,136.91999999999993,133.03999999999968,259.72999999999973,184.38999999999973,160.1900000000002,175.12999999999963,222.02999999999986,192.88000000000062,172.29000000000002,224.86999999999998,167.53999999999982,178.07000000000025,204.69999999999987,168.76999999999975,180.25999999999968,191.95000000000024,218.00000000000006,155.83,182.72000000000057,193.59000000000012,249.0000000000008,231.46999999999966,139.45999999999995,293.9000000000002,250.26000000000076,44.22000000000006
Fold1,>P12921,81.13000000000004,79.71000000000004,97.3,95.79000000000006,85.73999999999995,107.24999999999989,126.84000000000007,125.47000000000013,86.94999999999997,88.71000000000011,84.41999999999993,88.15000000000006,86.06999999999998,94.08000000000006,110.92999999999999,90.95000000000002,113.04000000000008,89.46000000000001,114.81999999999977,80.72999999999999,73.26999999999994,110.57999999999996,95.11,88.24000000000002,89.50000000000009,105.01999999999998,136.4499999999999,105.43000000000002,99.53999999999995,85.5,53.34999999999997,119.85000000000002,112.84999999999994,102.8000000000001,95.85000000000002,91.59999999999998,81.60999999999997,111.61000000000003,98.62000000000005,80.41000000000005,92.15000000000003,86.74999999999997,113.29999999999991,77.57000000000002,81.33999999999992,102.72999999999992,69.28,76.36999999999999,82.26000000000005,104.16000000000011,105.10000000000012,92.24999999999999,133.34000000000006,129.7499999999999,56.26000000000003
Fold1,>P19579,152.5499999999998,158.35000000000008,204.65000000000015,197.2899999999996,184.44999999999993,207.6100000000001,261.84999999999985,257.77999999999935,175.12000000000003,177.88000000000048,159.40000000000015,176.22000000000037,198.04000000000002,191.71,243.2699999999995,176.22000000000037,230.02999999999975,166.54000000000013,252.63000000000025,160.19000000000003,142.11999999999972,216.25999999999985,181.6400000000001,170.85999999999996,168.4100000000002,223.92000000000016,288.0400000000008,231.0200000000001,202.00999999999974,175.76000000000025,104.10999999999972,236.2899999999996,250.13999999999984,231.05999999999986,194.96999999999986,181.20999999999984,162.31000000000006,247.98999999999972,178.46999999999983,172.17999999999975,178.4400000000004,159.74,254.93999999999988,150.1100000000001,163.1500000000001,214.6499999999997,133.78000000000023,149.79000000000025,157.01000000000005,201.24000000000046,201.2799999999998,212.97999999999968,281.35000000000014,268.9200000000004,129.8699999999999
Fold1,>A2RMA8,237.3099999999998,190.71999999999983,237.05000000000024,274.63999999999896,199.67000000000013,324.72000000000014,305.42000000000013,364.28999999999996,205.5900000000004,204.11000000000078,258.0500000000012,209.3300000000002,167.89000000000007,231.85000000000025,276.71999999999974,270.5500000000001,274.0100000000003,257.9800000000004,257.5800000000002,194.26999999999978,224.07999999999942,326.14000000000055,242.5300000000003,259.67999999999995,264.6900000000004,225.85999999999999,375.90000000000043,218.28000000000011,226.0099999999995,188.81000000000057,168.0599999999999,342.93999999999954,255.9599999999995,227.18000000000015,237.66999999999928,286.76999999999975,248.150000000001,244.21999999999957,289.7099999999999,225.43999999999951,238.70000000000064,262.45999999999987,241.88999999999993,230.1899999999994,250.43000000000092,282.95000000000033,197.47999999999982,232.57000000000102,247.3499999999998,323.8900000000015,301.94000000000005,199.22999999999965,388.9800000000013,339.1200000000008,68.82000000000008
Fold1,>A6QIG2,211.60000000000005,221.5899999999997,258.0600000000001,290.4199999999988,290.20000000000016,290.40999999999974,374.09999999999997,361.02999999999923,246.69000000000017,249.1100000000011,220.5300000000001,248.62000000000054,282.6700000000002,272.8499999999998,354.79999999999967,255.6900000000007,306.6700000000002,226.52000000000038,377.1099999999984,221.65000000000012,185.36999999999964,293.90000000000003,263.31999999999994,241.7399999999999,232.1799999999999,327.14000000000124,415.9100000000014,326.84000000000003,285.05999999999943,256.1800000000006,140.88999999999967,323.85999999999956,369.74000000000115,333.7199999999995,279.0299999999992,254.4799999999996,217.34000000000037,368.6300000000002,243.7199999999994,245.4799999999982,224.7500000000009,215.24999999999977,379.3900000000001,201.18999999999966,226.81000000000037,280.4399999999997,169.71000000000038,198.55000000000064,215.28000000000006,280.9400000000007,270.89,314.0,398.2300000000018,381.3100000000012,164.81999999999968
Fold1,>P35594,279.3200000000002,277.19999999999976,363.73999999999995,344.93999999999903,354.3300000000004,379.260000000001,458.1999999999994,473.31,305.90000000000003,316.2600000000011,292.95000000000095,311.08000000000004,364.20000000000016,335.49000000000075,441.18000000000075,322.6300000000006,415.8400000000004,305.85000000000065,477.3399999999973,281.2799999999993,260.4399999999989,400.91000000000173,320.4800000000008,298.12999999999954,303.0899999999998,414.950000000002,526.2700000000015,431.41999999999877,353.6399999999989,311.07000000000136,196.26000000000008,443.1399999999995,464.69000000000193,419.17999999999944,341.0599999999994,333.89000000000095,292.820000000001,460.15000000000026,339.63000000000045,328.35999999999865,318.63000000000113,296.67000000000036,466.55000000000115,273.49999999999926,315.8300000000014,378.0999999999994,248.25999999999962,268.260000000001,287.9999999999996,369.62000000000216,370.8799999999998,398.2300000000002,515.4900000000025,474.5700000000005,230.18999999999974
Fold1,>P0A3G5,168.33000000000007,171.42000000000004,227.61000000000007,225.69999999999933,224.4299999999999,242.22999999999993,295.45000000000005,302.57999999999936,187.51000000000016,196.85000000000065,188.21000000000012,193.63000000000034,225.2399999999998,210.06,288.5099999999997,195.88000000000022,264.0999999999996,182.53000000000011,305.2099999999997,173.93999999999977,153.18999999999974,248.61999999999958,199.54000000000036,180.67000000000033,189.43000000000018,262.48999999999995,344.5700000000006,256.6300000000003,213.07999999999976,191.74000000000044,114.89999999999954,277.75999999999937,297.85000000000014,265.7400000000001,216.72999999999962,210.37999999999985,175.49,303.3599999999993,201.28999999999988,207.8599999999995,187.32000000000056,179.02999999999992,298.2000000000004,163.86000000000035,187.64000000000016,222.52,151.79000000000005,156.69000000000034,174.88999999999993,238.9200000000003,224.85999999999999,255.8999999999994,330.4600000000005,303.2400000000007,106.1599999999999
Fold1,>P39755,250.7499999999997,193.94000000000008,247.2900000000005,284.0999999999989,193.48000000000008,339.07000000000005,305.14000000000016,376.03000000000037,208.06000000000026,205.83000000000098,272.9900000000013,212.0700000000002,158.06000000000026,236.90000000000043,277.45999999999924,283.1500000000002,287.21999999999997,273.6500000000004,249.87000000000015,199.70000000000007,236.36999999999946,348.44000000000074,251.3300000000005,268.6799999999999,279.91,222.60000000000016,383.5300000000003,212.33999999999992,233.1999999999996,191.5600000000003,179.82999999999976,360.0099999999991,253.73999999999953,223.52,241.11999999999915,302.40000000000003,262.82000000000096,239.7399999999998,310.12000000000046,230.1499999999994,243.8900000000007,278.02999999999963,236.3799999999998,246.3399999999993,252.94000000000062,307.8799999999998,210.89999999999984,249.6000000000008,267.89999999999975,344.83000000000175,320.6900000000001,186.69999999999962,401.1400000000013,344.710000000001,66.75000000000009
Fold1,>P33379,206.84,226.33000000000007,316.54000000000013,252.7299999999984,315.61000000000007,305.5400000000005,393.31999999999954,390.6199999999996,246.28000000000034,262.010000000001,232.98000000000087,256.05,328.89000000000016,267.82999999999936,359.59999999999974,236.99000000000046,346.12000000000006,228.7200000000002,431.30999999999824,231.94999999999968,188.6499999999996,321.98000000000025,253.58999999999997,232.03,235.4300000000006,372.6100000000007,436.80000000000194,385.11999999999927,288.69999999999965,256.98000000000064,142.19999999999976,360.7499999999998,425.29000000000065,381.1499999999999,276.39999999999907,262.68999999999954,208.08000000000067,423.669999999999,263.0299999999994,290.92999999999904,266.2700000000005,217.97000000000003,414.3000000000009,197.8099999999999,237.73000000000093,302.72,187.02999999999994,182.68000000000077,206.55999999999975,297.31000000000154,284.42000000000013,375.58000000000095,426.82000000000164,400.09000000000066,199.4399999999997
